Coste: 8988 Profundidad de Solucion:335 Profundidad Total: 335Segundos: 0
UMT_X[397375] UMT_Y[4353775] HEIGHT[858.39]
UMT_X[397400] UMT_Y[4353800] HEIGHT[845.72]
UMT_X[397425] UMT_Y[4353825] HEIGHT[831.42]
UMT_X[397450] UMT_Y[4353850] HEIGHT[825.77]
UMT_X[397475] UMT_Y[4353875] HEIGHT[822.6]
UMT_X[397500] UMT_Y[4353900] HEIGHT[817.59]
UMT_X[397525] UMT_Y[4353925] HEIGHT[811.74]
UMT_X[397550] UMT_Y[4353950] HEIGHT[805.8]
UMT_X[397575] UMT_Y[4353975] HEIGHT[800.99]
UMT_X[397600] UMT_Y[4354000] HEIGHT[797.26]
UMT_X[397625] UMT_Y[4354025] HEIGHT[793.96]
UMT_X[397650] UMT_Y[4354050] HEIGHT[791.47]
UMT_X[397675] UMT_Y[4354075] HEIGHT[789.41]
UMT_X[397700] UMT_Y[4354100] HEIGHT[786.92]
UMT_X[397725] UMT_Y[4354125] HEIGHT[783.39]
UMT_X[397750] UMT_Y[4354150] HEIGHT[777.76]
UMT_X[397775] UMT_Y[4354175] HEIGHT[771.49]
UMT_X[397800] UMT_Y[4354200] HEIGHT[764.95]
UMT_X[397825] UMT_Y[4354225] HEIGHT[760.45]
UMT_X[397850] UMT_Y[4354250] HEIGHT[770.92]
UMT_X[397875] UMT_Y[4354275] HEIGHT[776.58]
UMT_X[397900] UMT_Y[4354300] HEIGHT[780.29]
UMT_X[397925] UMT_Y[4354325] HEIGHT[781.57]
UMT_X[397950] UMT_Y[4354350] HEIGHT[781.52]
UMT_X[397975] UMT_Y[4354375] HEIGHT[781.66]
UMT_X[398000] UMT_Y[4354400] HEIGHT[780.9]
UMT_X[398025] UMT_Y[4354425] HEIGHT[776.98]
UMT_X[398050] UMT_Y[4354450] HEIGHT[770.52]
UMT_X[398075] UMT_Y[4354475] HEIGHT[763.29]
UMT_X[398100] UMT_Y[4354500] HEIGHT[765.07]
UMT_X[398125] UMT_Y[4354525] HEIGHT[764.55]
UMT_X[398150] UMT_Y[4354550] HEIGHT[761.02]
UMT_X[398175] UMT_Y[4354575] HEIGHT[756.12]
UMT_X[398200] UMT_Y[4354600] HEIGHT[750.39]
UMT_X[398225] UMT_Y[4354625] HEIGHT[750.93]
UMT_X[398250] UMT_Y[4354650] HEIGHT[755.61]
UMT_X[398275] UMT_Y[4354675] HEIGHT[755.03]
UMT_X[398300] UMT_Y[4354700] HEIGHT[757.03]
UMT_X[398325] UMT_Y[4354725] HEIGHT[759.05]
UMT_X[398350] UMT_Y[4354750] HEIGHT[762.15]
UMT_X[398375] UMT_Y[4354775] HEIGHT[767.01]
UMT_X[398400] UMT_Y[4354800] HEIGHT[773.83]
UMT_X[398425] UMT_Y[4354800] HEIGHT[779.87]
UMT_X[398450] UMT_Y[4354800] HEIGHT[785.46]
